season,snapshot_date,team,fifa_rank
2010,2010-05-26,Algeria,30
2010,2010-05-26,Argentina,7
2010,2010-05-26,Australia,20
2010,2010-05-26,Brazil,1
2010,2010-05-26,Cameroon,19
2010,2010-05-26,Chile,18
2010,2010-05-26,Denmark,36
2010,2010-05-26,England,8
2010,2010-05-26,France,9
2010,2010-05-26,Germany,6
2010,2010-05-26,Ghana,32
2010,2010-05-26,Greece,13
2010,2010-05-26,Honduras,38
2010,2010-05-26,Italy,5
2010,2010-05-26,Ivory Coast,27
2010,2010-05-26,Japan,45
2010,2010-05-26,Mexico,17
2010,2010-05-26,Netherlands,4
2010,2010-05-26,New Zealand,78
2010,2010-05-26,Nigeria,21
2010,2010-05-26,North Korea,105
2010,2010-05-26,Paraguay,31
2010,2010-05-26,Portugal,3
2010,2010-05-26,Serbia,15
2010,2010-05-26,Slovakia,34
2010,2010-05-26,Slovenia,25
2010,2010-05-26,South Africa,83
2010,2010-05-26,South Korea,47
2010,2010-05-26,Spain,2
2010,2010-05-26,Switzerland,24
2010,2010-05-26,USA,14
2010,2010-05-26,Uruguay,16
2014,2014-06-05,Algeria,22
2014,2014-06-05,Argentina,5
2014,2014-06-05,Australia,62
2014,2014-06-05,Belgium,11
2014,2014-06-05,Bosnia & Herzegovina,21
2014,2014-06-05,Brazil,3
2014,2014-06-05,Cameroon,56
2014,2014-06-05,Chile,14
2014,2014-06-05,Colombia,8
2014,2014-06-05,Costa Rica,28
2014,2014-06-05,Croatia,18
2014,2014-06-05,Ecuador,26
2014,2014-06-05,England,10
2014,2014-06-05,France,17
2014,2014-06-05,Germany,2
2014,2014-06-05,Ghana,37
2014,2014-06-05,Greece,12
2014,2014-06-05,Honduras,33
2014,2014-06-05,Iran,43
2014,2014-06-05,Italy,9
2014,2014-06-05,Ivory Coast,24
2014,2014-06-05,Japan,46
2014,2014-06-05,Mexico,20
2014,2014-06-05,Netherlands,15
2014,2014-06-05,Nigeria,44
2014,2014-06-05,Portugal,4
2014,2014-06-05,Russia,19
2014,2014-06-05,South Korea,58
2014,2014-06-05,Spain,1
2014,2014-06-05,Switzerland,6
2014,2014-06-05,USA,13
2014,2014-06-05,Uruguay,7
2018,2018-06-07,Argentina,5
2018,2018-06-07,Australia,36
2018,2018-06-07,Belgium,3
2018,2018-06-07,Brazil,2
2018,2018-06-07,Colombia,16
2018,2018-06-07,Costa Rica,23
2018,2018-06-07,Croatia,20
2018,2018-06-07,Denmark,12
2018,2018-06-07,Egypt,45
2018,2018-06-07,England,13
2018,2018-06-07,France,7
2018,2018-06-07,Germany,1
2018,2018-06-07,Iceland,22
2018,2018-06-07,Iran,37
2018,2018-06-07,Japan,61
2018,2018-06-07,Mexico,15
2018,2018-06-07,Morocco,41
2018,2018-06-07,Nigeria,48
2018,2018-06-07,Panama,55
2018,2018-06-07,Peru,11
2018,2018-06-07,Poland,8
2018,2018-06-07,Portugal,4
2018,2018-06-07,Russia,70
2018,2018-06-07,Saudi Arabia,67
2018,2018-06-07,Senegal,27
2018,2018-06-07,Serbia,34
2018,2018-06-07,South Korea,57
2018,2018-06-07,Spain,10
2018,2018-06-07,Sweden,24
2018,2018-06-07,Switzerland,6
2018,2018-06-07,Tunisia,21
2018,2018-06-07,Uruguay,14
2022,2022-10-06,Argentina,3
2022,2022-10-06,Australia,38
2022,2022-10-06,Belgium,2
2022,2022-10-06,Brazil,1
2022,2022-10-06,Cameroon,43
2022,2022-10-06,Canada,41
2022,2022-10-06,Costa Rica,31
2022,2022-10-06,Croatia,12
2022,2022-10-06,Denmark,10
2022,2022-10-06,Ecuador,44
2022,2022-10-06,England,5
2022,2022-10-06,France,4
2022,2022-10-06,Germany,11
2022,2022-10-06,Ghana,61
2022,2022-10-06,Iran,20
2022,2022-10-06,Japan,24
2022,2022-10-06,Mexico,13
2022,2022-10-06,Morocco,22
2022,2022-10-06,Netherlands,8
2022,2022-10-06,Poland,26
2022,2022-10-06,Portugal,9
2022,2022-10-06,Qatar,50
2022,2022-10-06,Saudi Arabia,51
2022,2022-10-06,Senegal,18
2022,2022-10-06,Serbia,21
2022,2022-10-06,South Korea,28
2022,2022-10-06,Spain,7
2022,2022-10-06,Switzerland,15
2022,2022-10-06,Tunisia,30
2022,2022-10-06,USA,16
2022,2022-10-06,Uruguay,14
2022,2022-10-06,Wales,19
2026,2024-09-19,Algeria,41
2026,2024-09-19,Argentina,1
2026,2024-09-19,Australia,25
2026,2024-09-19,Austria,22
2026,2024-09-19,Belgium,6
2026,2024-09-19,Bosnia & Herzegovina,75
2026,2024-09-19,Brazil,5
2026,2024-09-19,Canada,38
2026,2024-09-19,Cape Verde Islands,65
2026,2024-09-19,Colombia,9
2026,2024-09-19,Congo DR,58
2026,2024-09-19,Croatia,12
2026,2024-09-19,Curaçao,88
2026,2024-09-19,Czechia,46
2026,2024-09-19,Ecuador,27
2026,2024-09-19,Egypt,31
2026,2024-09-19,England,4
2026,2024-09-19,France,2
2026,2024-09-19,Germany,13
2026,2024-09-19,Ghana,70
2026,2024-09-19,Haiti,86
2026,2024-09-19,Iran,19
2026,2024-09-19,Iraq,55
2026,2024-09-19,Ivory Coast,33
2026,2024-09-19,Japan,16
2026,2024-09-19,Jordan,68
2026,2024-09-19,Mexico,17
2026,2024-09-19,Morocco,14
2026,2024-09-19,Netherlands,7
2026,2024-09-19,New Zealand,95
2026,2024-09-19,Norway,47
2026,2024-09-19,Panama,37
2026,2024-09-19,Paraguay,57
2026,2024-09-19,Portugal,8
2026,2024-09-19,Qatar,44
2026,2024-09-19,Saudi Arabia,56
2026,2024-09-19,Scotland,52
2026,2024-09-19,Senegal,21
2026,2024-09-19,South Africa,59
2026,2024-09-19,South Korea,23
2026,2024-09-19,Spain,3
2026,2024-09-19,Sweden,28
2026,2024-09-19,Switzerland,15
2026,2024-09-19,Tunisia,36
2026,2024-09-19,Türkiye,26
2026,2024-09-19,USA,18
2026,2024-09-19,Uruguay,11
2026,2024-09-19,Uzbekistan,60
